day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id
2,7,41.871,-87.631,41.868,-87.643,11,4398049
0,21,41.945,-87.691,41.986,-87.769,3,1989968
2,15,41.868,-87.714,41.868,-87.714,10,4597844
0,13,41.977,-87.762,41.979,-87.903,86,957083
0,21,41.685,-87.671,41.682,-87.632,78,1869335
0,23,41.798,-87.59,41.79,-87.601,1680,2212120
2,8,41.847,-87.664,41.938,-87.647,7,4439471
0,16,41.905,-87.65,41.895,-87.62,242,1285677
0,23,41.893,-87.638,41.776,-87.638,4,2255317
0,3,41.891,-87.619,41.899,-87.626,386,405270
1,21,41.922,-87.641,41.929,-87.656,13,3576798
0,4,41.79,-87.601,41.79,-87.59,1721,484202
1,23,41.943,-87.641,41.929,-87.685,8,3767451
0,15,41.996,-87.656,41.874,-87.662,6,1212434
2,6,41.936,-87.661,41.95,-87.684,7,4370678
0,0,41.79,-87.601,41.786,-87.751,111,20602
0,10,41.935,-87.771,41.885,-87.621,25,733147
2,6,41.892,-87.632,41.958,-87.653,58,4346229
0,2,41.943,-87.652,41.859,-87.617,68,337107
2,6,41.951,-87.667,41.929,-87.646,9,4379377
1,20,41.929,-87.651,41.979,-87.903,30,3498245
0,17,41.945,-87.669,41.979,-87.903,170,1431939
0,16,41.881,-87.633,41.898,-87.621,1163,1270759
1,15,41.902,-87.638,41.893,-87.638,37,3136068
2,22,41.748,-87.61,41.727,-87.658,5,4981806
0,13,41.936,-87.661,41.979,-87.903,266,939297
2,19,41.929,-87.646,41.929,-87.666,9,4835259
0,21,41.893,-87.626,41.9,-87.665,70,1947920
2,0,41.929,-87.712,41.987,-87.665,5,3849455
0,22,41.967,-87.684,41.987,-87.694,22,2162156
0,14,41.786,-87.751,41.881,-87.633,2691,994254
0,17,41.755,-87.61,41.798,-87.59,9,1348865
1,22,41.951,-87.676,41.885,-87.657,34,3680183
0,21,41.9,-87.632,41.885,-87.657,460,1954163
0,20,41.9,-87.67,41.922,-87.656,7,1803145
0,22,41.885,-87.621,41.881,-87.633,3452,2094209
0,0,41.979,-87.903,41.891,-87.619,3325,122400
0,1,41.893,-87.638,41.898,-87.621,490,186567
0,17,41.792,-87.611,41.871,-87.622,5,1362516
0,13,41.9,-87.67,41.881,-87.633,809,919251
0,15,41.892,-87.632,41.881,-87.633,3202,1157147
1,16,41.879,-87.643,41.915,-87.632,76,3188548
0,20,41.881,-87.633,41.885,-87.643,1934,1787076
0,22,41.881,-87.633,41.689,-87.617,3,2090029
0,4,41.943,-87.652,41.885,-87.621,222,543074
1,1,41.928,-87.705,41.938,-87.639,10,2488379
1,4,41.893,-87.638,41.893,-87.66,23,2724016
0,16,41.886,-87.672,41.881,-87.633,50,1274259
1,0,41.922,-87.646,41.885,-87.621,42,2394936
0,15,42.021,-87.67,41.979,-87.903,27,1216246
0,18,41.871,-87.622,41.842,-87.622,20,1508936
0,16,41.87,-87.675,41.798,-87.59,22,1263777
0,19,41.859,-87.617,41.881,-87.633,2323,1633787
0,17,41.893,-87.638,41.885,-87.621,1470,1398559
0,17,41.884,-87.748,41.877,-87.752,9,1391406
0,19,41.979,-87.903,41.885,-87.621,6743,1709554
2,0,41.893,-87.626,41.851,-87.635,167,3828639
0,0,41.912,-87.684,41.798,-87.59,4,76030
0,19,41.742,-87.63,41.783,-87.613,9,1593811
0,19,41.87,-87.675,41.777,-87.693,45,1638175
0,3,41.892,-87.632,41.973,-87.679,78,407802
1,22,41.916,-87.692,41.892,-87.629,15,3658667
0,20,41.848,-87.708,41.775,-87.73,1,1769485
1,23,41.881,-87.633,41.849,-87.624,158,3728841
1,9,41.885,-87.621,41.879,-87.643,15,2970405
0,4,41.892,-87.632,41.881,-87.633,1593,509196
0,18,41.885,-87.621,41.943,-87.647,49,1518336
1,4,41.879,-87.672,41.936,-87.661,14,2715438
0,1,41.893,-87.626,41.931,-87.642,101,187287
0,14,41.929,-87.636,41.929,-87.651,17,1058406
1,21,41.936,-87.652,41.921,-87.71,4,3584806
0,23,41.881,-87.633,41.786,-87.751,1157,2244579
0,2,42.016,-87.667,42.016,-87.667,13,364474
2,19,41.859,-87.617,42.005,-87.659,3,4811900
0,6,41.893,-87.638,41.885,-87.643,100,646039
0,12,41.929,-87.685,41.916,-87.692,19,830945
0,14,41.877,-87.622,41.881,-87.633,1611,1024929
0,16,41.79,-87.59,41.79,-87.601,434,1241937
0,18,41.881,-87.633,41.949,-87.652,108,1514983
0,0,41.95,-87.738,41.879,-87.643,2,105862
2,3,41.892,-87.613,41.915,-87.654,12,4100678
0,21,41.931,-87.642,41.938,-87.647,11,1978479
0,15,41.877,-87.622,41.849,-87.624,810,1148571
0,22,41.938,-87.647,41.881,-87.633,64,2140480
0,15,41.915,-87.646,41.881,-87.633,172,1172698
0,23,41.871,-87.631,41.891,-87.619,422,2237821
0,20,41.922,-87.664,41.885,-87.643,60,1818809
2,13,41.936,-87.652,41.962,-87.645,4,4544544
2,1,41.891,-87.619,41.987,-87.672,4,3917226
0,5,41.899,-87.626,41.891,-87.619,114,595904
2,23,41.908,-87.627,41.786,-87.751,28,5071058
0,1,41.884,-87.723,42.006,-87.668,1,178368
1,21,41.958,-87.66,41.973,-87.65,20,3595751
0,3,41.979,-87.903,41.922,-87.634,319,463766
1,3,41.893,-87.626,41.885,-87.657,787,2641166
0,19,41.899,-87.752,41.881,-87.633,15,1658922
0,3,41.859,-87.617,41.746,-87.592,11,391257
0,2,41.922,-87.646,41.929,-87.636,81,322331
0,3,41.943,-87.641,41.856,-87.66,3,446322
0,2,41.945,-87.691,41.9,-87.68,6,338381
0,4,41.885,-87.643,41.893,-87.626,579,505434
0,9,41.893,-87.626,41.979,-87.903,2351,714000
1,4,41.95,-87.702,41.921,-87.7,3,2758158
0,23,41.868,-87.643,41.727,-87.658,17,2234906
0,23,41.895,-87.62,41.885,-87.621,1038,2257049
0,1,41.893,-87.626,41.892,-87.632,1146,187167
1,2,41.892,-87.632,41.9,-87.629,271,2554331
2,23,41.991,-87.657,41.972,-87.671,8,5098925
0,20,41.946,-87.647,41.945,-87.662,7,1838035
1,5,41.885,-87.621,41.907,-87.636,88,2796513
0,13,41.893,-87.66,41.881,-87.633,908,914399
0,20,41.983,-87.877,41.979,-87.903,1424,1858268
0,20,41.931,-87.642,41.827,-87.633,26,1826120
1,23,41.748,-87.656,41.776,-87.638,1,3703830
0,15,41.899,-87.626,41.979,-87.903,1425,1163166
1,23,41.871,-87.622,41.891,-87.619,274,3725580
0,14,41.754,-87.56,41.754,-87.56,54,981061
2,7,41.891,-87.619,41.899,-87.684,4,4401730
1,2,41.97,-87.713,41.963,-87.713,2,2597666
0,3,41.892,-87.632,41.859,-87.617,1779,407481
0,16,41.979,-87.903,41.899,-87.626,1239,1325688
0,2,41.879,-87.657,41.885,-87.621,384,290434
0,21,41.993,-87.657,42.005,-87.659,18,2016676
0,21,41.891,-87.619,41.885,-87.657,1269,1942344
0,3,41.935,-87.647,41.958,-87.653,72,438408
0,21,41.877,-87.681,41.893,-87.638,32,1933438
2,5,41.921,-87.695,41.891,-87.619,19,4291684
1,19,41.936,-87.676,41.967,-87.671,1,3422168
0,14,41.884,-87.76,41.95,-87.762,5,1027963
0,16,41.892,-87.629,41.979,-87.903,1444,1277434
0,20,41.861,-87.631,41.893,-87.626,31,1774649
1,16,41.891,-87.77,41.879,-87.643,1,3190902
