Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Fare,Tip,Additional Charges,Trip Total,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,start_hour,day_type
e64bb3f749472a087cd1f14fe1d14d86f05be865,2025-09-01 00:00:00,2025-09-01 00:15:00,900,6.3,17031081500.0,17031031100.0,$17.5,$0,$7.3,$24.8,41.893,-87.626,41.973,-87.664,0,0
f265021097fe6a47fb648bbf772fcc065adc7317,2025-07-26 16:15:00,2025-07-26 16:30:00,509,1.4,17031839100.0,17031833000.0,$10,$0,$2.73,$12.73,41.881,-87.633,41.885,-87.657,16,1
8ae4c086af6b11494dc121c12d8bd6d49cbf060b,2025-06-02 01:00:00,2025-06-02 01:15:00,507,2.2,17031410800.0,17031420400.0,$2.5,$0,$3.1,$5.6,41.798,-87.59,41.783,-87.604,1,0
cff313b63b496e7912bd00eaf4c7782f0f67dcb5,2025-08-03 02:15:00,2025-08-03 02:15:00,414,2.4,17031062600.0,17031220400.0,$7.5,$4,$4.81,$16.31,41.936,-87.671,41.928,-87.7,2,2
aacbd83ef902ba4b556f9caaea695cbc4bb10f23,2025-06-04 06:45:00,2025-06-04 06:45:00,454,2.0,17031081000.0,17031280100.0,$12.5,$3,$2.73,$18.23,41.9,-87.632,41.885,-87.643,6,0
2495c5e59232c5b3f5df1d96c10ac873be14ddcd,2025-08-20 08:45:00,2025-08-20 08:45:00,550,1.6,17031081403.0,17031839100.0,$12.5,$0,$2.73,$15.23,41.891,-87.619,41.881,-87.633,8,0
3e11e5b374e681a3edae1fc641020b109edfe114,2025-11-18 19:00:00,2025-11-18 19:15:00,"1,270",4.6,17031081402.0,17031070600.0,$15,$2,$2.73,$19.73,41.892,-87.613,41.929,-87.666,19,0
a2d305bac9ea2f84478e63539fefc6255bbe09b8,2025-11-24 15:15:00,2025-11-24 16:00:00,"2,300",13.2,17031830900.0,17031980000.0,$37.5,$0,$6.23,$43.73,41.929,-87.685,41.979,-87.903,15,0
9f819ce3f37429cc6008f40ba1a42c99b9f68941,2025-09-04 12:15:00,2025-09-04 12:30:00,993,3.4,17031010502.0,17031040600.0,$15,$0,$1.23,$16.23,42.005,-87.663,41.967,-87.684,12,0
0c43d4dbd0c93f23e7e48867d526ee6a7c3895d1,2025-01-17 01:30:00,2025-01-17 01:45:00,337,1.1,17031060900.0,17031830700.0,$7.5,$2,$1.23,$10.73,41.95,-87.644,41.958,-87.66,1,0
a665e5e8a03acca52178f5992d7b4f7c79622b9d,2025-03-08 15:30:00,2025-03-08 16:00:00,"1,416",3.4,17031071200.0,17031839100.0,$15,$0,$2.21,$17.21,41.922,-87.646,41.881,-87.633,15,1
61d17dd9a428482713c83cd2e0663034678424b7,2025-01-24 21:15:00,2025-01-24 21:30:00,282,0.8,17031842200.0,17031081000.0,$5,$0,$3.49,$8.49,41.905,-87.65,41.9,-87.632,21,0
d1f0034b1cbc859aaf8cf3ba3533b6466ff425c9,2025-03-15 19:15:00,2025-03-15 19:30:00,774,2.0,17031280100.0,17031081000.0,$20,$0,$5.31,$25.31,41.885,-87.643,41.9,-87.632,19,1
79fd8a0ca0cf7d1b6a06485d11f3ad7bee4e51c1,2025-05-28 14:30:00,2025-05-28 15:15:00,"2,534",8.8,17031837300.0,17031837300.0,$17.5,$0,$3.73,$21.23,41.872,-87.706,41.872,-87.706,14,0
3522074ea51bc981721f2a92fa2f6ccf4e0b17ca,2025-11-15 20:00:00,2025-11-15 20:15:00,677,6.0,17031411000.0,17031841100.0,$12.5,$0,$1.23,$13.73,41.791,-87.583,41.851,-87.635,20,1
7c8346212c25284771ae41b50379cd047cb3a066,2025-03-26 20:15:00,2025-03-26 20:45:00,"1,205",4.9,17031050600.0,17031081800.0,$12.5,$0,$2.56,$15.06,41.951,-87.676,41.893,-87.638,20,0
52f43ee23294985eee4bc3b0836e25b223ef96d1,2025-11-28 13:45:00,2025-11-28 13:45:00,371,1.3,17031110502.0,17031110100.0,$7.5,$0,$1.64,$9.14,41.97,-87.76,41.986,-87.769,13,0
d449a4aa0e767510c3a720bbd5002881eceaaf0e,2025-07-13 15:15:00,2025-07-13 15:15:00,326,0.7,17031081700.0,17031081403.0,$15,$7,$2.73,$24.73,41.892,-87.632,41.891,-87.619,15,2
65264bcd2f846f1249d9ca91163e404f62ea4608,2025-08-17 16:15:00,2025-08-17 16:30:00,749,1.5,17031080100.0,17031071300.0,$15,$0,$4.02,$19.02,41.908,-87.627,41.922,-87.641,16,2
46eae8be535b4233812ea75ad2816638ad64c1bf,2025-06-23 11:00:00,2025-06-23 11:45:00,"2,686",15.3,17031980000.0,17031061902.0,$32.5,$0,$6.23,$38.73,41.979,-87.903,41.943,-87.641,11,0
510235d5144a14c4c8ac653c9ab0471c33875a4d,2025-07-14 17:00:00,2025-07-14 17:30:00,"1,645",4.5,17031081800.0,17031060400.0,$12.5,$0,$10.95,$23.45,41.893,-87.638,41.951,-87.667,17,0
12a8e4adc2e08391de8ebf5e9d7ebbe6992a928b,2025-07-18 13:45:00,2025-07-18 14:00:00,930,4.4,17031834000.0,17031480400.0,$10,$0,$5.05,$15.05,41.728,-87.63,41.728,-87.576,13,0
