day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,19,41.881,-87.633,41.946,-87.654,101,1646331,2026,04,25
2,5,41.871,-87.631,41.797,-87.582,6,4264826,2026,04,26
0,19,41.994,-87.679,41.899,-87.626,7,1715929,2026,04,25
0,20,41.922,-87.664,41.903,-87.626,26,1818851,2026,04,22
0,12,41.776,-87.638,41.79,-87.601,96,790684,2026,04,25
0,22,41.936,-87.656,41.928,-87.705,14,2139346,2026,04,22
0,4,42.005,-87.659,41.991,-87.657,9,564346,2026,04,22
0,2,41.994,-87.695,41.881,-87.633,10,360361,2026,04,25
1,10,41.907,-87.636,41.951,-87.671,2,2986228,2026,04,26
0,21,41.753,-87.642,41.74,-87.649,4,1882453,2026,04,22
0,23,41.892,-87.632,41.903,-87.626,319,2253213,2026,04,26
0,16,41.791,-87.583,41.79,-87.601,1234,1242726,2026,04,22
0,22,41.943,-87.647,41.929,-87.651,49,2145077,2026,04,22
0,13,41.769,-87.62,41.895,-87.62,15,872660,2026,04,25
2,0,41.936,-87.681,41.801,-87.585,1,3854683,2026,04,22
0,19,41.754,-87.671,41.761,-87.703,38,1597452,2026,04,25
0,0,41.929,-87.712,41.848,-87.708,1,88187,2026,04,22
2,17,41.915,-87.632,41.891,-87.619,44,4714973,2026,04,22
1,21,41.899,-87.626,41.885,-87.621,426,3563802,2026,04,26
0,22,41.868,-87.643,41.885,-87.643,351,2080594,2026,04,22
1,0,41.905,-87.65,41.892,-87.632,200,2383434,2026,04,25
0,2,41.872,-87.654,41.872,-87.654,14,287334,2026,04,26
0,0,41.885,-87.621,41.74,-87.649,5,54150,2026,04,22
0,13,41.959,-87.713,41.892,-87.632,25,950364,2026,04,22
0,4,41.967,-87.684,41.892,-87.629,6,555092,2026,04,22
0,13,41.915,-87.654,41.881,-87.633,833,926843,2026,04,22
2,22,41.877,-87.622,41.879,-87.657,61,4996509,2026,04,26
1,8,41.95,-87.684,41.885,-87.643,1,2963271,2026,04,22
0,20,41.921,-87.695,41.922,-87.656,8,1818127,2026,04,22
0,14,41.926,-87.722,41.93,-87.724,17,1054915,2026,04,22
