day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,15,41.892,-87.629,41.728,-87.576,1,1157396,2026,04,22
2,14,41.899,-87.626,41.979,-87.903,524,4566871,2026,04,22
0,23,41.885,-87.657,41.893,-87.626,2535,2247270,2026,04,26
0,5,41.786,-87.751,41.871,-87.622,321,572953,2026,04,22
0,23,41.979,-87.903,41.963,-87.684,43,2324800,2026,04,26
0,21,41.868,-87.643,41.893,-87.638,212,1926868,2026,04,22
2,9,41.931,-87.642,41.943,-87.641,10,4481789,2026,04,25
2,4,41.92,-87.751,41.95,-87.644,1,4206795,2026,04,22
0,23,41.885,-87.657,41.881,-87.633,3326,2247238,2026,04,26
0,4,41.892,-87.632,41.871,-87.622,1038,509175,2026,04,22
0,8,41.936,-87.656,41.946,-87.654,1,704236,2026,04,26
1,23,41.892,-87.629,41.859,-87.617,218,3734274,2026,04,25
0,16,41.979,-87.903,41.965,-87.743,5,1325898,2026,04,22
0,16,41.879,-87.657,41.891,-87.619,202,1269614,2026,04,22
1,20,41.9,-87.632,41.886,-87.699,1,3483807,2026,04,22
2,2,41.979,-87.903,41.885,-87.657,152,4059623,2026,04,22
0,2,41.892,-87.632,41.871,-87.631,874,298476,2026,04,26
0,22,41.953,-87.653,41.929,-87.651,34,2152849,2026,04,22
0,5,41.868,-87.643,41.895,-87.62,26,581590,2026,04,22
0,13,41.963,-87.713,41.92,-87.761,32,951425,2026,04,22
0,13,41.979,-87.903,41.892,-87.629,497,957833,2026,04,22
1,17,41.983,-87.658,41.922,-87.634,1,3294120,2026,04,22
2,6,41.907,-87.636,41.891,-87.619,169,4355561,2026,04,26
0,21,41.87,-87.675,41.868,-87.643,362,1928190,2026,04,22
0,2,41.899,-87.626,41.859,-87.617,418,305130,2026,04,26
0,13,41.877,-87.622,41.893,-87.626,115,906205,2026,04,25
2,5,41.906,-87.675,41.941,-87.676,13,4282988,2026,04,26
0,17,41.892,-87.665,41.906,-87.675,22,1396580,2026,04,26
2,22,41.77,-87.581,41.859,-87.617,3,4983954,2026,04,26
1,3,41.892,-87.613,41.868,-87.643,26,2639684,2026,04,22
0,3,41.885,-87.621,41.899,-87.626,658,403996,2026,04,22
1,0,41.95,-87.644,41.935,-87.64,15,2412929,2026,04,25
2,11,41.891,-87.619,41.859,-87.617,70,4504735,2026,04,25
1,7,41.905,-87.65,41.885,-87.621,86,2917912,2026,04,22
0,19,41.755,-87.61,41.964,-87.652,1,1598796,2026,04,25
1,5,41.881,-87.633,41.958,-87.672,11,2794489,2026,04,22
0,12,41.791,-87.583,41.786,-87.751,101,794958,2026,04,25
1,7,41.943,-87.718,41.881,-87.633,6,2931563,2026,04,22
2,0,41.864,-87.693,41.844,-87.683,2,3815869,2026,04,22
1,1,41.899,-87.626,41.881,-87.633,248,2472117,2026,04,25
1,20,41.929,-87.636,41.891,-87.619,50,3498553,2026,04,22
0,22,41.885,-87.657,41.859,-87.617,960,2092906,2026,04,22
2,16,41.929,-87.636,41.877,-87.622,11,4665902,2026,04,22
2,5,41.885,-87.643,41.893,-87.638,261,4270372,2026,04,26
1,2,41.967,-87.694,41.953,-87.646,3,2596735,2026,04,22
0,16,41.973,-87.694,41.983,-87.877,6,1323487,2026,04,22
2,6,41.949,-87.652,41.965,-87.703,5,4377773,2026,04,25
0,12,41.891,-87.619,41.979,-87.903,4083,815319,2026,04,25
2,20,41.783,-87.608,41.859,-87.617,4,4862729,2026,04,22
1,18,41.892,-87.632,41.898,-87.621,154,3327896,2026,04,22
0,21,41.859,-87.617,41.856,-87.66,84,1923060,2026,04,22
1,1,41.871,-87.622,41.881,-87.633,278,2458205,2026,04,25
2,3,41.938,-87.639,41.943,-87.652,45,4130987,2026,04,22
1,16,41.879,-87.643,41.912,-87.675,14,3188543,2026,04,22
1,0,41.801,-87.585,41.79,-87.601,141,2352844,2026,04,25
2,0,41.898,-87.654,41.9,-87.67,29,3829825,2026,04,22
0,22,41.879,-87.657,41.892,-87.632,727,2089121,2026,04,22
0,16,41.739,-87.689,41.725,-87.619,2,1223785,2026,04,22
0,2,41.906,-87.631,41.885,-87.643,139,310457,2026,04,26
0,19,41.859,-87.617,41.885,-87.643,510,1633797,2026,04,25
1,0,41.79,-87.601,41.806,-87.604,34,2350309,2026,04,25
2,13,41.881,-87.633,41.879,-87.643,157,4536182,2026,04,22
0,0,41.906,-87.675,41.915,-87.632,212,71105,2026,04,22
0,19,41.967,-87.652,41.942,-87.661,2,1705105,2026,04,25
2,2,41.931,-87.642,41.946,-87.654,51,4035521,2026,04,22
2,21,41.943,-87.652,41.892,-87.632,42,4962376,2026,04,22
0,18,41.979,-87.903,41.885,-87.621,6402,1573550,2026,04,25
0,14,41.892,-87.632,41.915,-87.654,50,1033499,2026,04,22
0,14,41.885,-87.657,41.915,-87.654,56,1029327,2026,04,22
0,21,42.009,-87.673,42.005,-87.659,22,2021557,2026,04,22
2,3,41.9,-87.629,41.893,-87.638,157,4106877,2026,04,22
1,17,41.891,-87.619,41.951,-87.667,11,3257378,2026,04,22
2,5,41.859,-87.617,41.906,-87.631,82,4262509,2026,04,26
0,21,41.943,-87.643,41.879,-87.643,63,1989115,2026,04,22
1,4,41.881,-87.633,41.885,-87.657,1032,2716709,2026,04,22
2,12,41.913,-87.775,42.006,-87.902,1,4521980,2026,04,25
1,5,41.943,-87.647,41.973,-87.657,37,2829193,2026,04,22
2,15,41.95,-87.702,41.905,-87.65,2,4621360,2026,04,22
1,3,41.942,-87.661,41.958,-87.676,5,2669388,2026,04,22
1,3,41.893,-87.653,41.922,-87.651,15,2640378,2026,04,22
0,22,41.885,-87.621,41.871,-87.622,830,2094185,2026,04,22
1,0,41.922,-87.656,41.922,-87.634,38,2394507,2026,04,25
0,15,41.774,-87.693,41.813,-87.604,2,1113536,2026,04,22
0,12,41.893,-87.626,41.895,-87.62,323,817602,2026,04,25
