group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
4001156,794,685,10619,1622,11413,2654s,"{'SUBWAY', 'WALK', 'BUS'}"
4707137,1254,1146,3473,450,4727,1599s,"{'SUBWAY', 'WALK'}"
1161179,493,449,784,271,1277,720s,"{'WALK', 'BUS'}"
746434,818,679,2241,412,3059,1091s,"{'WALK', 'BUS'}"
1854857,612,515,4989,1345,5601,2113s,"{'WALK', 'BUS'}"
1050949,637,571,10155,2158,10792,3424s,"{'WALK', 'BUS'}"
2174470,564,492,14349,3689,14913,4511s,"{'WALK', 'BUS'}"
414025,671,569,892,251,1563,821s,"{'WALK', 'BUS'}"
3640587,890,877,3283,921,4173,2144s,"{'SUBWAY', 'WALK', 'BUS'}"
4527621,1541,1471,32068,3330,33609,5522s,"{'SUBWAY', 'WALK', 'BUS'}"
83788,1144,993,2593,718,3737,1712s,"{'WALK', 'BUS'}"
2685636,1581,1378,29546,3164,31127,4856s,"{'SUBWAY', 'WALK', 'BUS'}"
3214916,370,322,8364,2029,8734,2671s,"{'WALK', 'BUS'}"
4096935,845,858,10911,1548,11756,2944s,"{'SUBWAY', 'WALK', 'BUS'}"
1153457,1005,869,1252,367,2257,1238s,"{'WALK', 'BUS'}"
4189901,471,379,4422,1041,4893,1421s,"{'WALK', 'BUS'}"
758245,650,588,862,257,1512,847s,"{'WALK', 'BUS'}"
4276186,949,912,4429,1032,5378,2343s,"{'SUBWAY', 'WALK', 'BUS'}"
40066,896,775,6377,1208,7273,2004s,"{'WALK', 'BUS'}"
180461,594,484,915,370,1509,855s,"{'WALK', 'BUS'}"
39777,1073,969,14476,2034,15549,3274s,"{'SUBWAY', 'WALK', 'BUS'}"
4649209,1166,954,2726,847,3892,1802s,"{'WALK', 'BUS'}"
2542139,1450,1202,1333,286,2783,1488s,"{'WALK', 'BUS'}"
1573556,1467,1241,28753,3086,30220,4821s,"{'SUBWAY', 'WALK', 'BUS'}"
1027087,682,623,929,329,1611,952s,"{'WALK', 'BUS'}"
1278851,1138,939,3926,1207,5064,2149s,"{'WALK', 'BUS'}"
2660866,766,637,3593,670,4359,1345s,"{'WALK', 'BUS'}"
54386,624,533,2709,797,3333,1330s,"{'WALK', 'BUS'}"
378631,730,594,1853,417,2583,1013s,"{'WALK', 'BUS'}"
492538,670,721,12317,1861,12987,3267s,"{'SUBWAY', 'WALK', 'BUS'}"
1041483,567,478,1979,600,2546,1312s,"{'WALK', 'BUS'}"
1852161,850,824,19880,2797,20730,4454s,"{'SUBWAY', 'WALK', 'BUS'}"
3951166,914,934,8050,1080,8964,2016s,"{'SUBWAY', 'WALK'}"
4267341,712,626,4070,654,4782,2313s,"{'WALK', 'BUS'}"
355917,1924,1605,22360,2985,24284,5217s,"{'SUBWAY', 'WALK', 'BUS'}"
1399011,919,738,4248,1487,5167,2228s,"{'WALK', 'BUS'}"
1947004,1746,1599,25323,2370,27069,3971s,"{'SUBWAY', 'WALK'}"
3130240,709,661,2802,799,3511,1460s,"{'WALK', 'BUS'}"
1532663,571,496,5546,1375,6117,2294s,"{'WALK', 'BUS'}"
307286,468,396,1871,503,2339,899s,"{'WALK', 'BUS'}"
1393554,324,291,1317,261,1641,554s,"{'WALK', 'BUS'}"
