group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
2257031,389,358,2726,1046,3115,1405s,"{'BUS', 'WALK'}"
5016065,1073,968,10917,1320,11990,2577s,"{'SUBWAY', 'WALK'}"
60904,628,572,0,0,628,573s,{'WALK'}
915297,650,588,862,356,1512,946s,"{'BUS', 'WALK'}"
2718237,730,849,8686,1200,9416,2359s,"{'SUBWAY', 'WALK'}"
1157396,381,359,20120,2460,20501,3177s,"{'BUS', 'WALK'}"
4566871,1904,1681,31019,3210,32923,5122s,"{'SUBWAY', 'WALK'}"
2247270,1120,935,2819,630,3939,1570s,"{'BUS', 'WALK'}"
572953,1748,1526,19063,1985,20811,4485s,"{'SUBWAY', 'BUS', 'WALK'}"
2324800,1659,1381,19573,2096,21232,3802s,"{'SUBWAY', 'BUS', 'WALK'}"
1926868,1005,882,2582,884,3587,1768s,"{'BUS', 'WALK'}"
4481789,1630,1365,0,0,1630,1365s,{'WALK'}
4206795,1558,1377,10918,1911,12476,3599s,"{'SUBWAY', 'BUS', 'WALK'}"
2247238,803,712,2188,535,2991,1247s,"{'BUS', 'WALK'}"
509175,835,715,2576,671,3411,1776s,"{'BUS', 'WALK'}"
704236,1249,1064,0,0,1249,1063s,{'WALK'}
3734274,983,875,3759,721,4742,1826s,"{'SUBWAY', 'BUS', 'WALK'}"
1325898,1962,1628,14662,1110,16624,2739s,"{'SUBWAY', 'WALK'}"
1269614,559,503,4496,1201,5055,2289s,"{'BUS', 'WALK'}"
3483807,318,268,8460,2702,8778,3237s,"{'BUS', 'WALK'}"
4059623,2765,2334,26195,2310,28960,4644s,"{'SUBWAY', 'WALK'}"
298476,509,412,1992,841,2501,1331s,"{'BUS', 'WALK'}"
2152849,871,748,2437,721,3308,1473s,"{'BUS', 'WALK'}"
581590,526,458,4885,1096,5411,2101s,"{'BUS', 'WALK'}"
951425,511,468,8377,1972,8888,2786s,"{'BUS', 'WALK'}"
957833,1565,1290,29004,2937,30569,4450s,"{'SUBWAY', 'BUS', 'WALK'}"
3294120,405,456,8035,1625,8440,2341s,"{'SUBWAY', 'BUS', 'WALK'}"
4355561,632,582,2534,578,3166,1449s,"{'BUS', 'WALK'}"
1928190,519,430,2906,982,3425,1424s,"{'BUS', 'WALK'}"
305130,899,715,4991,1691,5890,2407s,"{'BUS', 'WALK'}"
906205,466,403,1701,554,2167,958s,"{'BUS', 'WALK'}"
4282988,1542,1304,3686,766,5228,2071s,"{'BUS', 'WALK'}"
1396580,1074,918,1771,399,2845,1331s,"{'BUS', 'WALK'}"
4983954,1790,1489,14241,1317,16031,3165s,"{'BUS', 'WALK'}"
2639684,1482,1256,3812,992,5294,2249s,"{'BUS', 'WALK'}"
403996,648,520,1476,501,2124,1021s,"{'BUS', 'WALK'}"
2412929,213,181,1765,448,1978,650s,"{'BUS', 'WALK'}"
4504735,1478,1244,3749,805,5227,2098s,"{'BUS', 'WALK'}"
2917912,1626,1493,4144,510,5770,2003s,"{'SUBWAY', 'WALK'}"
1598796,1175,1024,27885,3234,29060,4774s,"{'SUBWAY', 'BUS', 'WALK'}"
2794489,977,912,13325,2040,14302,2952s,"{'SUBWAY', 'WALK'}"
794958,573,458,17280,3151,17853,4361s,"{'BUS', 'WALK'}"
2931563,1115,1033,11262,1260,12377,2293s,"{'SUBWAY', 'WALK'}"
3815869,583,520,2870,510,3453,1314s,"{'BUS', 'WALK'}"
2472117,674,594,2544,698,3218,1293s,"{'BUS', 'WALK'}"
3498553,929,793,4670,1217,5599,2038s,"{'BUS', 'WALK'}"
2092906,1229,1108,5358,1021,6587,2470s,"{'SUBWAY', 'BUS', 'WALK'}"
4665902,1044,883,6094,1822,7138,2706s,"{'BUS', 'WALK'}"
4270372,1005,869,1252,293,2257,1164s,"{'BUS', 'WALK'}"
2596735,264,375,5471,957,5735,2104s,"{'SUBWAY', 'BUS', 'WALK'}"
1323487,3323,2784,16295,2168,19618,6070s,"{'SUBWAY', 'BUS', 'WALK'}"
4377773,624,622,7617,990,8241,2248s,"{'SUBWAY', 'WALK'}"
815319,1562,1379,28560,2931,30122,4635s,"{'SUBWAY', 'BUS', 'WALK'}"
