group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
4491499,1522,1466,20057,1855,21579,4429s,"{'SUBWAY', 'WALK', 'BUS'}"
295047,1668,1376,10455,1320,12123,2715s,"{'SUBWAY', 'WALK'}"
1588312,1046,900,6991,1469,8037,2886s,"{'WALK', 'BUS'}"
2381872,321,276,865,304,1186,580s,"{'WALK', 'BUS'}"
243242,1971,1657,22791,2676,24762,4714s,"{'SUBWAY', 'WALK', 'BUS'}"
4504166,1428,1240,8418,1320,9846,2561s,"{'SUBWAY', 'WALK'}"
2712383,,,,,,,
3488470,306,276,1987,619,2293,895s,"{'WALK', 'BUS'}"
4937712,463,426,4110,1366,4573,1792s,"{'WALK', 'BUS'}"
2094378,810,708,9887,1942,10697,2951s,"{'WALK', 'BUS'}"
1041231,140,125,2642,987,2782,1122s,"{'WALK', 'BUS'}"
3937751,805,667,6026,1463,6831,2872s,"{'WALK', 'BUS'}"
1987580,873,737,7671,1968,8544,3005s,"{'WALK', 'BUS'}"
2247703,536,609,15516,2673,16052,3514s,"{'SUBWAY', 'WALK', 'BUS'}"
1033784,748,631,2323,523,3071,1154s,"{'WALK', 'BUS'}"
1118910,818,829,21011,2319,21829,3692s,"{'SUBWAY', 'WALK', 'BUS'}"
1514798,866,812,4191,780,5057,1593s,"{'SUBWAY', 'WALK'}"
756091,738,780,864,90,1602,870s,"{'SUBWAY', 'WALK'}"
2910073,616,552,4752,1392,5368,2275s,"{'WALK', 'BUS'}"
2846495,1271,1114,13084,2105,14355,3220s,"{'WALK', 'BUS'}"
361733,1198,1121,7092,990,8290,2113s,"{'SUBWAY', 'WALK'}"
739029,658,536,5338,791,5996,1715s,"{'WALK', 'BUS'}"
4351652,492,538,7785,1244,8277,2831s,"{'SUBWAY', 'WALK', 'BUS'}"
1031568,663,578,5855,1813,6518,2392s,"{'WALK', 'BUS'}"
2028197,1429,1255,22613,2853,24042,4604s,"{'SUBWAY', 'WALK', 'BUS'}"
924609,553,478,1492,405,2045,887s,"{'WALK', 'BUS'}"
1244715,967,822,10709,1374,11676,2434s,"{'WALK', 'BUS'}"
1646154,677,585,1964,976,2641,1561s,"{'WALK', 'BUS'}"
396310,956,815,12489,1751,13445,2841s,"{'WALK', 'BUS'}"
50980,455,383,1900,571,2355,954s,"{'WALK', 'BUS'}"
3474834,912,806,2030,572,2942,1382s,"{'WALK', 'BUS'}"
1398153,724,660,2951,817,3675,1511s,"{'WALK', 'BUS'}"
1446583,1733,1485,28442,2610,30175,4095s,"{'SUBWAY', 'WALK'}"
5063527,1007,858,6270,1235,7277,2350s,"{'HEAVY_RAIL', 'WALK', 'BUS'}"
1297708,1276,1062,2319,575,3595,1638s,"{'WALK', 'BUS'}"
1242483,1028,1085,12895,2080,13923,3319s,"{'SUBWAY', 'WALK', 'BUS'}"
3474794,958,910,4017,877,4975,2018s,"{'SUBWAY', 'WALK', 'BUS'}"
839748,697,620,8949,1593,9646,2654s,"{'WALK', 'BUS'}"
2377414,282,270,801,204,1083,477s,"{'WALK', 'BUS'}"
1076668,1353,1226,16627,1811,17980,3434s,"{'SUBWAY', 'WALK', 'BUS'}"
2690785,2359,1955,2749,360,5108,2316s,"{'WALK', 'BUS'}"
4772455,703,626,5935,1399,6638,2416s,"{'WALK', 'BUS'}"
2722076,662,586,2644,666,3306,1626s,"{'WALK', 'BUS'}"
312223,659,587,1640,588,2299,1204s,"{'WALK', 'BUS'}"
2244974,786,682,7585,1429,8371,2112s,"{'WALK', 'BUS'}"
1164242,292,255,2109,713,2401,970s,"{'WALK', 'BUS'}"
1074582,969,808,6715,1435,7684,2862s,"{'WALK', 'BUS'}"
186818,662,588,11791,1349,12453,2166s,"{'WALK', 'BUS'}"
