group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
4663176,626,538,3910,942,4536,1797s,"{'WALK', 'BUS'}"
873550,834,689,11108,1099,11942,2482s,"{'WALK', 'HEAVY_RAIL', 'BUS'}"
2985455,1962,1751,24129,2220,26091,3973s,"{'WALK', 'SUBWAY'}"
1676074,2204,1866,4617,630,6821,2515s,"{'WALK', 'SUBWAY'}"
186539,1066,935,1825,466,2891,1402s,"{'WALK', 'BUS'}"
3086006,536,439,5982,963,6518,1403s,"{'WALK', 'BUS'}"
4342715,803,712,2188,483,2991,1195s,"{'WALK', 'BUS'}"
139162,,,,,,,
1396860,551,474,862,294,1413,795s,"{'WALK', 'BUS'}"
2296279,1280,1067,2444,660,3724,1741s,"{'WALK', 'BUS'}"
3956667,1404,1242,17611,2353,19015,3876s,"{'WALK', 'SUBWAY', 'BUS'}"
750522,510,431,7661,1571,8171,3130s,"{'WALK', 'BUS'}"
391534,1513,1451,7300,1278,8813,2974s,"{'WALK', 'SUBWAY', 'BUS'}"
3511707,1254,1174,4074,570,5328,1744s,"{'WALK', 'SUBWAY'}"
1157520,476,436,1118,411,1594,847s,"{'WALK', 'BUS'}"
1936747,682,623,929,344,1611,967s,"{'WALK', 'BUS'}"
1810719,1286,1092,1892,640,3178,1732s,"{'WALK', 'BUS'}"
3478767,401,336,1161,500,1562,895s,"{'WALK', 'BUS'}"
501680,1167,964,9391,1851,10558,2862s,"{'WALK', 'BUS'}"
2051355,1169,1166,20262,1980,21431,3652s,"{'WALK', 'SUBWAY', 'BUS'}"
1663042,1334,1095,2793,791,4127,1887s,"{'WALK', 'BUS'}"
4765606,404,374,669,193,1073,569s,"{'WALK', 'BUS'}"
1986859,1145,1032,10551,1983,11696,3240s,"{'WALK', 'SUBWAY', 'BUS'}"
1273955,2224,1884,28192,2730,30416,4615s,"{'WALK', 'SUBWAY'}"
3660928,539,449,5028,1246,5567,1696s,"{'WALK', 'BUS'}"
171937,957,1007,3866,805,4823,1963s,"{'WALK', 'SUBWAY', 'BUS'}"
2912290,1209,1157,13483,1411,14692,3375s,"{'WALK', 'SUBWAY', 'BUS'}"
2585383,686,575,2506,578,3192,1153s,"{'WALK', 'BUS'}"
1713205,766,677,14907,3574,15673,4746s,"{'WALK', 'BUS'}"
4400551,701,639,3968,1200,4669,2170s,"{'WALK', 'BUS'}"
4111023,597,523,2750,780,3347,1677s,"{'WALK', 'BUS'}"
3728913,650,562,2115,667,2765,1229s,"{'WALK', 'BUS'}"
4083603,282,271,5301,1193,5583,1846s,"{'WALK', 'BUS'}"
2247249,1188,1168,2504,360,3692,1529s,"{'WALK', 'SUBWAY'}"
321305,660,556,1632,412,2292,998s,"{'WALK', 'BUS'}"
1370685,710,591,3178,786,3888,1407s,"{'WALK', 'BUS'}"
2706239,1000,918,10139,1734,11139,3216s,"{'WALK', 'BUS'}"
5025853,1176,1099,10024,1495,11200,2845s,"{'WALK', 'SUBWAY', 'BUS'}"
1787362,1733,1554,28487,2790,30220,4345s,"{'WALK', 'SUBWAY'}"
1167550,719,618,1930,461,2649,1085s,"{'WALK', 'BUS'}"
2368121,1107,910,1588,270,2695,1181s,"{'WALK', 'SUBWAY'}"
1942346,415,377,413,111,828,547s,"{'WALK', 'BUS'}"
4090261,748,624,2688,611,3436,1260s,"{'WALK', 'BUS'}"
282851,1129,958,15717,3023,16846,4385s,"{'WALK', 'BUS'}"
5073070,1700,1455,31679,3808,33379,5575s,"{'WALK', 'SUBWAY', 'BUS'}"
1987645,869,708,2439,665,3308,1375s,"{'WALK', 'BUS'}"
234200,421,382,2608,692,3029,1530s,"{'WALK', 'BUS'}"
1360095,,,,,,,
3453649,419,350,10742,2622,11161,3476s,"{'WALK', 'BUS'}"
58618,257,252,1787,780,2044,1531s,"{'WALK', 'BUS'}"
4043115,1045,878,12706,2634,13751,3752s,"{'WALK', 'BUS'}"
1648577,1188,1168,2501,390,3689,1559s,"{'WALK', 'SUBWAY'}"
801942,867,706,6545,1470,7412,2536s,"{'WALK', 'BUS'}"
1658422,729,615,5528,1585,6257,2523s,"{'WALK', 'BUS'}"
1162980,630,565,1604,661,2234,1226s,"{'WALK', 'BUS'}"
2090185,989,851,13125,2229,14114,3081s,"{'WALK', 'BUS'}"
915314,535,479,801,237,1336,718s,"{'WALK', 'BUS'}"
426360,1413,1160,3737,863,5150,2024s,"{'WALK', 'BUS'}"
2120184,301,268,1621,400,1922,683s,"{'WALK', 'BUS'}"
2208196,792,649,8271,1614,9063,2508s,"{'WALK', 'BUS'}"
3070855,1741,1639,32031,3576,33772,5550s,"{'WALK', 'SUBWAY', 'BUS'}"
2575860,757,637,5200,1138,5957,1804s,"{'WALK', 'BUS'}"
3401977,1220,1174,5454,750,6674,1926s,"{'WALK', 'SUBWAY'}"
4012894,226,195,3336,1138,3562,1336s,"{'WALK', 'BUS'}"
4987013,412,342,1115,300,1527,643s,"{'WALK', 'BUS'}"
122650,1524,1264,21698,2691,23222,4467s,"{'WALK', 'SUBWAY', 'BUS'}"
2884311,446,390,798,120,1244,541s,"{'WALK', 'BUS'}"
50430,1130,936,14334,2060,15464,3572s,"{'WALK', 'SUBWAY', 'BUS'}"
1165356,570,492,1292,413,1862,934s,"{'WALK', 'BUS'}"
1039233,410,353,2918,548,3328,901s,"{'WALK', 'BUS'}"
2846323,1261,1189,22412,2070,23673,4024s,"{'WALK', 'SUBWAY', 'BUS'}"
2092980,912,806,2030,633,2942,1443s,"{'WALK', 'BUS'}"
2309099,990,884,3299,480,4289,1364s,"{'WALK', 'SUBWAY'}"
4273932,1652,1492,5080,600,6732,2092s,"{'WALK', 'SUBWAY'}"
1325674,1643,1366,29237,2999,30880,4776s,"{'WALK', 'SUBWAY', 'BUS'}"
504953,737,656,5842,1065,6579,2276s,"{'WALK', 'BUS'}"
53126,1440,1390,4511,450,5951,1840s,"{'WALK', 'SUBWAY'}"
74312,488,405,5647,1448,6135,2081s,"{'WALK', 'BUS'}"
2377180,503,454,13508,1924,14011,2614s,"{'WALK', 'BUS'}"
3781797,1334,1237,11967,1560,13301,2798s,"{'WALK', 'SUBWAY'}"
917065,388,314,8045,2815,8433,3129s,"{'WALK', 'BUS'}"
3854004,1357,1150,20883,2201,22240,3948s,"{'WALK', 'HEAVY_RAIL', 'BUS'}"
2491514,1662,1394,6106,1615,7768,3009s,"{'WALK', 'BUS'}"
324958,802,684,5225,1050,6027,2015s,"{'WALK', 'BUS'}"
3518706,1469,1218,21103,2116,22572,3917s,"{'WALK', 'SUBWAY', 'BUS'}"
4345600,643,562,5540,1224,6183,1836s,"{'WALK', 'BUS'}"
60926,775,661,3773,1079,4548,1741s,"{'WALK', 'BUS'}"
3613610,,,,,,,
2369972,460,404,1150,468,1610,873s,"{'WALK', 'BUS'}"
2450354,2014,1789,10633,780,12647,2569s,"{'WALK', 'SUBWAY'}"
2076754,1353,1124,8173,660,9526,1784s,"{'WALK', 'HEAVY_RAIL'}"
1280559,974,947,10203,1483,11177,2985s,"{'WALK', 'SUBWAY', 'BUS'}"
3406277,737,623,8257,2483,8994,3107s,"{'WALK', 'BUS'}"
2308283,1127,954,1880,604,3007,1592s,"{'WALK', 'BUS'}"
2912426,1037,954,862,282,1899,1263s,"{'WALK', 'BUS'}"
2115498,1192,996,3058,924,4250,1924s,"{'WALK', 'BUS'}"
907118,387,349,4805,1128,5192,1954s,"{'WALK', 'BUS'}"
1399056,944,806,2629,622,3573,1429s,"{'WALK', 'BUS'}"
648498,1544,1456,2235,240,3779,1694s,"{'WALK', 'SUBWAY'}"
4647108,588,509,2495,799,3083,1309s,"{'WALK', 'BUS'}"
184793,680,574,2756,543,3436,1390s,"{'WALK', 'SUBWAY', 'BUS'}"
323713,1046,932,6899,1847,7945,3056s,"{'WALK', 'BUS'}"
921159,489,416,3705,1487,4194,2199s,"{'WALK', 'BUS'}"
2263033,696,609,1717,586,2413,1195s,"{'WALK', 'BUS'}"
4123400,732,629,4942,932,5674,1936s,"{'WALK', 'BUS'}"
405387,680,718,8480,1279,9160,2717s,"{'WALK', 'SUBWAY', 'BUS'}"
2463637,1005,869,1252,325,2257,1196s,"{'WALK', 'BUS'}"
1801234,259,252,6506,1463,6765,1717s,"{'WALK', 'BUS'}"
3400094,470,391,5233,1264,5703,1656s,"{'WALK', 'BUS'}"
229756,383,322,4511,1070,4894,1416s,"{'WALK', 'BUS'}"
4658792,742,662,1895,717,2637,1771s,"{'WALK', 'BUS'}"
1978367,506,433,4827,1288,5333,1723s,"{'WALK', 'BUS'}"
1939923,594,520,844,299,1438,820s,"{'WALK', 'BUS'}"
2367719,650,555,4657,1012,5307,2248s,"{'WALK', 'BUS'}"
1503516,2147,1910,31430,3658,33577,5908s,"{'WALK', 'SUBWAY', 'BUS'}"
3647803,717,589,3646,1247,4363,1836s,"{'WALK', 'BUS'}"
2551044,715,769,864,90,1579,860s,"{'WALK', 'SUBWAY'}"
2399959,1072,930,8870,1677,9942,3215s,"{'WALK', 'BUS'}"
2768876,1520,1333,30437,2940,31957,4532s,"{'WALK', 'SUBWAY'}"
574367,824,687,0,0,824,687s,{'WALK'}
2055828,1126,916,13412,2027,14538,3221s,"{'WALK', 'SUBWAY', 'BUS'}"
268109,1086,907,0,0,1086,906s,{'WALK'}
1794995,549,496,2355,806,2904,1305s,"{'WALK', 'BUS'}"
355662,1387,1210,29740,3351,31127,5205s,"{'WALK', 'SUBWAY', 'BUS'}"
2391469,994,865,2485,650,3479,1531s,"{'WALK', 'BUS'}"
3847789,1467,1357,7717,1110,9184,2953s,"{'WALK', 'SUBWAY'}"
1489273,817,695,3775,758,4592,1903s,"{'WALK', 'BUS'}"
2101201,187,174,1892,856,2079,1031s,"{'WALK', 'BUS'}"
772364,1521,1343,21676,2512,23197,4219s,"{'WALK', 'SUBWAY', 'BUS'}"
3385737,559,470,9489,2626,10048,3420s,"{'WALK', 'BUS'}"
2514509,1397,1187,39122,3779,40519,5589s,"{'WALK', 'SUBWAY', 'BUS'}"
1646129,746,773,1848,240,2594,1013s,"{'WALK', 'SUBWAY'}"
2789151,835,769,7588,1152,8423,2352s,"{'WALK', 'BUS'}"
861010,1240,1046,4944,694,6184,2311s,"{'WALK', 'BUS'}"
543255,823,687,667,132,1490,820s,"{'WALK', 'BUS'}"
4832262,1036,884,1714,392,2750,1288s,"{'WALK', 'BUS'}"
2028069,,,,,,,
4423701,1407,1150,8300,1080,9707,2229s,"{'WALK', 'SUBWAY'}"
85522,626,518,2859,787,3485,1316s,"{'WALK', 'BUS'}"
4006111,922,899,3336,769,4258,2000s,"{'WALK', 'SUBWAY', 'BUS'}"
2576849,1287,1180,2563,582,3850,2131s,"{'WALK', 'BUS'}"
245351,4356,3587,10277,780,14633,4698s,"{'WALK', 'SUBWAY', 'TRAM'}"
4565308,440,380,1712,538,2152,920s,"{'WALK', 'BUS'}"
3918893,1411,1184,4248,1360,5659,2545s,"{'WALK', 'BUS'}"
1980742,580,469,7092,2244,7672,2726s,"{'WALK', 'BUS'}"
4356335,586,500,2344,420,2930,924s,"{'WALK', 'BUS'}"
430054,1006,840,3758,920,4764,1765s,"{'WALK', 'BUS'}"
301014,1642,1527,7106,990,8748,2521s,"{'WALK', 'SUBWAY'}"
711469,2605,2347,31073,3256,33678,5847s,"{'WALK', 'SUBWAY', 'BUS'}"
