day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
0,18,41.868,-87.643,41.874,-87.662,55,1506337,2026,4,26,1224.0,1035.0,1258.0,223.0,2482.0,1266s,"{'BUS', 'WALK'}"
0,19,41.943,-87.731,41.936,-87.652,8,1690330,2026,4,25,800.0,825.0,7523.0,1609.0,8323.0,2694s,"{'SUBWAY', 'BUS', 'WALK'}"
0,2,41.892,-87.629,41.936,-87.656,86,299195,2026,4,26,728.0,734.0,6709.0,840.0,7437.0,1574s,"{'SUBWAY', 'WALK'}"
2,17,41.728,-87.596,41.907,-87.665,1,4685844,2026,4,22,1182.0,1120.0,25341.0,2631.0,26523.0,4323s,"{'SUBWAY', 'BUS', 'WALK'}"
2,3,41.943,-87.641,41.847,-87.664,2,4134770,2026,4,22,905.0,762.0,13406.0,2379.0,14311.0,3724s,"{'BUS', 'WALK'}"
0,17,41.893,-87.626,41.877,-87.622,842,1399043,2026,4,26,500.0,455.0,1832.0,665.0,2332.0,1122s,"{'BUS', 'WALK'}"
0,20,41.935,-87.744,41.885,-87.684,1,1827686,2026,4,22,957.0,841.0,8142.0,1888.0,9099.0,3018s,"{'BUS', 'WALK'}"
2,1,41.898,-87.654,41.9,-87.632,37,3922387,2026,4,22,798.0,698.0,3155.0,827.0,3953.0,1526s,"{'BUS', 'WALK'}"
0,3,41.885,-87.657,41.893,-87.626,3618,402809,2026,4,22,1120.0,935.0,2819.0,579.0,3939.0,1519s,"{'BUS', 'WALK'}"
1,20,41.945,-87.662,41.893,-87.626,17,3506764,2026,4,26,630.0,686.0,7964.0,930.0,8594.0,1883s,"{'SUBWAY', 'WALK'}"
1,17,41.742,-87.63,41.742,-87.63,64,3233736,2026,4,22,,,,,,,
1,23,41.943,-87.641,41.916,-87.675,8,3767428,2026,4,22,675.0,571.0,5835.0,1546.0,6510.0,2626s,"{'BUS', 'WALK'}"
2,2,41.893,-87.653,41.893,-87.626,113,4011444,2026,4,22,606.0,510.0,3278.0,909.0,3884.0,1465s,"{'BUS', 'WALK'}"
0,16,41.864,-87.693,41.854,-87.694,8,1261995,2026,4,22,530.0,462.0,955.0,264.0,1485.0,727s,"{'BUS', 'WALK'}"
1,5,41.922,-87.656,41.972,-87.686,3,2816658,2026,4,22,774.0,649.0,7993.0,1433.0,8767.0,2965s,"{'BUS', 'WALK'}"
2,15,41.881,-87.633,41.871,-87.631,50,4600905,2026,4,22,752.0,648.0,586.0,427.0,1338.0,1126s,"{'BUS', 'WALK'}"
0,3,41.979,-87.903,41.885,-87.621,4444,463655,2026,4,22,2227.0,1912.0,28190.0,2550.0,30417.0,4462s,"{'SUBWAY', 'WALK'}"
1,17,41.935,-87.64,41.951,-87.676,3,3277434,2026,4,22,464.0,418.0,4957.0,1297.0,5421.0,2270s,"{'BUS', 'WALK'}"
0,12,41.893,-87.626,41.885,-87.657,1445,817578,2026,4,25,944.0,806.0,2629.0,510.0,3573.0,1317s,"{'BUS', 'WALK'}"
1,6,41.837,-87.653,41.885,-87.621,4,2852752,2026,4,22,2014.0,1806.0,8634.0,1170.0,10648.0,2977s,"{'SUBWAY', 'WALK'}"
2,0,41.929,-87.651,41.936,-87.656,43,3850899,2026,4,22,890.0,753.0,436.0,151.0,1326.0,916s,"{'BUS', 'WALK'}"
2,12,41.958,-87.692,41.879,-87.643,1,4525607,2026,4,25,1067.0,981.0,19622.0,2445.0,20689.0,3640s,"{'SUBWAY', 'BUS', 'WALK'}"
0,20,41.908,-87.627,41.892,-87.632,152,1810675,2026,4,22,484.0,413.0,1813.0,580.0,2297.0,1021s,"{'BUS', 'WALK'}"
0,10,41.915,-87.632,41.893,-87.638,26,731544,2026,4,26,960.0,847.0,2338.0,452.0,3298.0,1300s,"{'BUS', 'WALK'}"
0,16,41.895,-87.62,41.885,-87.657,711,1279719,2026,4,22,1105.0,948.0,3109.0,803.0,4214.0,1751s,"{'BUS', 'WALK'}"
2,21,41.893,-87.626,41.891,-87.619,132,4941995,2026,4,22,842.0,741.0,0.0,0.0,842.0,741s,{'WALK'}
0,3,41.885,-87.657,41.871,-87.631,1063,402756,2026,4,22,1244.0,1205.0,4191.0,660.0,5435.0,1868s,"{'SUBWAY', 'WALK'}"
0,17,41.87,-87.675,41.786,-87.751,155,1383464,2026,4,22,911.0,911.0,15883.0,2048.0,16794.0,4165s,"{'SUBWAY', 'BUS', 'WALK'}"
0,23,41.861,-87.701,41.82,-87.601,1,2232001,2026,4,26,971.0,854.0,14802.0,3056.0,15773.0,4264s,"{'BUS', 'WALK'}"
2,15,42.005,-87.663,41.943,-87.701,5,4630623,2026,4,22,1417.0,1289.0,11223.0,1988.0,12640.0,3735s,"{'SUBWAY', 'BUS', 'WALK'}"
0,0,41.885,-87.621,41.885,-87.657,6096,54421,2026,4,22,491.0,428.0,3363.0,1200.0,3854.0,1628s,"{'BUS', 'WALK'}"
0,14,41.928,-87.751,41.892,-87.67,11,1055704,2026,4,22,642.0,538.0,8615.0,1972.0,9257.0,2831s,"{'BUS', 'WALK'}"
2,1,41.859,-87.617,41.82,-87.621,5,3906666,2026,4,22,1297.0,1090.0,4599.0,954.0,5896.0,2046s,"{'BUS', 'WALK'}"
0,14,41.877,-87.745,41.893,-87.638,6,1023606,2026,4,22,168.0,159.0,12087.0,3061.0,12255.0,3488s,"{'BUS', 'WALK'}"
0,0,41.885,-87.643,41.912,-87.675,85,53857,2026,4,22,461.0,399.0,4196.0,1147.0,4657.0,1565s,"{'BUS', 'WALK'}"
0,18,41.907,-87.665,41.881,-87.633,74,1533958,2026,4,26,910.0,772.0,3944.0,881.0,4854.0,1653s,"{'BUS', 'WALK'}"
1,20,41.946,-87.654,41.915,-87.632,26,3507025,2026,4,26,468.0,414.0,3622.0,941.0,4090.0,1355s,"{'BUS', 'WALK'}"
0,14,41.973,-87.694,41.983,-87.877,3,1080553,2026,4,22,3270.0,2766.0,17125.0,1905.0,20395.0,5873s,"{'SUBWAY', 'BUS', 'WALK'}"
0,14,41.902,-87.638,41.895,-87.62,309,1041261,2026,4,22,103.0,96.0,2234.0,776.0,2337.0,1231s,"{'BUS', 'WALK'}"
1,5,41.892,-87.629,41.859,-87.617,134,2799555,2026,4,22,1429.0,1205.0,3926.0,965.0,5355.0,2171s,"{'BUS', 'WALK'}"
0,1,41.871,-87.631,41.893,-87.638,298,171442,2026,4,22,1379.0,1253.0,3380.0,630.0,4759.0,1884s,"{'SUBWAY', 'WALK'}"
0,10,41.943,-87.657,41.786,-87.751,39,734135,2026,4,26,1229.0,1130.0,27960.0,3211.0,29189.0,5309s,"{'SUBWAY', 'BUS', 'WALK'}"
2,0,41.906,-87.631,41.879,-87.643,35,3835859,2026,4,22,621.0,553.0,3931.0,1110.0,4552.0,1666s,"{'BUS', 'WALK'}"
2,2,41.79,-87.601,41.791,-87.594,81,3987158,2026,4,22,766.0,630.0,0.0,0.0,766.0,630s,{'WALK'}
0,22,41.871,-87.631,41.893,-87.626,363,2083237,2026,4,22,996.0,944.0,1964.0,360.0,2960.0,1304s,"{'SUBWAY', 'WALK'}"
0,23,41.895,-87.62,41.877,-87.622,440,2257031,2026,4,26,389.0,358.0,2726.0,1046.0,3115.0,1405s,"{'BUS', 'WALK'}"
