group_id,walkDist,walkTime,transitDist,transitTime,totalDist,totalTime,modes
1264899,428,350,2402,440,2830,858s,"{'WALK', 'BUS'}"
1027132,488,409,3165,1220,3653,1629s,"{'WALK', 'BUS'}"
976460,941,795,0,0,941,795s,{'WALK'}
2253350,855,870,9259,1320,10114,2190s,"{'WALK', 'SUBWAY'}"
1037540,1766,1517,28937,3386,30703,5219s,"{'WALK', 'BUS', 'SUBWAY'}"
61523,535,479,801,204,1336,685s,"{'WALK', 'BUS'}"
2324411,1641,1406,39478,3907,41119,5543s,"{'WALK', 'BUS', 'SUBWAY'}"
3663144,361,292,2559,669,2920,963s,"{'WALK', 'BUS'}"
4735122,1735,1448,20468,1963,22203,3939s,"{'WALK', 'BUS', 'SUBWAY'}"
2555113,344,288,2782,814,3126,1103s,"{'WALK', 'BUS'}"
412499,446,371,3107,1001,3553,1374s,"{'WALK', 'BUS'}"
179517,573,638,11845,2434,12418,3394s,"{'WALK', 'BUS', 'SUBWAY'}"
1619184,673,578,1041,173,1714,775s,"{'WALK', 'BUS'}"
2140814,877,764,5793,985,6670,1777s,"{'WALK', 'BUS'}"
3493896,660,556,1632,412,2292,998s,"{'WALK', 'BUS'}"
607883,1030,923,5849,570,6879,1495s,"{'WALK', 'SUBWAY'}"
4559685,1262,1087,2973,873,4235,1961s,"{'WALK', 'BUS'}"
605770,1985,1797,10303,720,12288,2518s,"{'WALK', 'HEAVY_RAIL'}"
1412022,1059,887,1677,378,2736,1265s,"{'WALK', 'BUS'}"
403373,670,677,2435,686,3105,1692s,"{'WALK', 'BUS', 'SUBWAY'}"
308322,1299,1144,3483,360,4782,1506s,"{'WALK', 'SUBWAY'}"
185997,766,874,5562,786,6328,2041s,"{'WALK', 'BUS', 'SUBWAY'}"
1787064,,,,,,,
2470917,898,719,3863,886,4761,1606s,"{'WALK', 'BUS'}"
1610688,783,839,20263,2120,21046,3585s,"{'WALK', 'BUS', 'SUBWAY'}"
302197,656,557,3157,822,3813,1621s,"{'WALK', 'BUS'}"
2144502,679,615,4337,1182,5016,1798s,"{'WALK', 'BUS'}"
1446725,1899,1531,24383,2921,26282,4977s,"{'WALK', 'BUS', 'SUBWAY'}"
4060156,652,682,5837,1107,6489,2149s,"{'WALK', 'BUS', 'SUBWAY'}"
5065003,931,1233,22342,2191,23273,4319s,"{'WALK', 'BUS', 'SUBWAY'}"
1077917,1048,876,4588,1028,5636,2239s,"{'WALK', 'BUS'}"
177305,964,920,9631,1500,10595,2420s,"{'WALK', 'SUBWAY'}"
1165559,789,862,7255,1293,8044,2501s,"{'WALK', 'BUS', 'SUBWAY'}"
3267063,274,219,999,178,1273,424s,"{'WALK', 'BUS'}"
3308316,1828,1515,20849,3397,22677,5340s,"{'WALK', 'HEAVY_RAIL', 'BUS'}"
2253274,406,452,6058,826,6464,1552s,"{'WALK', 'BUS', 'SUBWAY'}"
1277405,540,494,7382,1000,7922,1507s,"{'WALK', 'BUS'}"
1021620,748,624,2688,663,3436,1312s,"{'WALK', 'BUS'}"
4191295,1450,1276,0,0,1450,1276s,{'WALK'}
1731847,,,,,,,
1503411,1656,1372,8882,1306,10538,3069s,"{'WALK', 'BUS', 'SUBWAY'}"
1524028,514,451,2718,1000,3232,1454s,"{'WALK', 'BUS'}"
928262,1118,1007,6430,772,7548,2064s,"{'WALK', 'BUS', 'SUBWAY'}"
1725518,1258,1031,14642,2991,15900,4367s,"{'WALK', 'BUS'}"
18523,843,738,3081,618,3924,1662s,"{'WALK', 'BUS'}"
2720076,813,702,7098,1351,7911,2891s,"{'WALK', 'BUS'}"
3271925,1354,1158,1636,240,2990,1398s,"{'WALK', 'SUBWAY'}"
4355729,1166,1144,6669,1020,7835,2165s,"{'WALK', 'SUBWAY'}"
948539,848,719,9926,2365,10774,3334s,"{'WALK', 'BUS'}"
837371,1048,905,7046,1553,8094,2465s,"{'WALK', 'BUS'}"
73486,973,795,3493,1053,4466,1861s,"{'WALK', 'BUS'}"
758780,655,563,4689,883,5344,2109s,"{'WALK', 'BUS'}"
1185178,918,790,5590,1250,6508,2042s,"{'WALK', 'BUS'}"
291976,683,600,13989,2000,14672,2601s,"{'WALK', 'BUS'}"
2394547,1010,943,3498,570,4508,1514s,"{'WALK', 'SUBWAY'}"
3740317,580,480,2296,670,2876,1158s,"{'WALK', 'BUS'}"
3488989,680,578,6448,1499,7128,2341s,"{'WALK', 'BUS'}"
4881661,713,595,10136,2715,10849,3365s,"{'WALK', 'BUS'}"
61518,282,270,801,204,1083,477s,"{'WALK', 'BUS'}"
3187800,749,641,7120,1613,7869,2635s,"{'WALK', 'BUS'}"
922677,591,509,5832,1453,6423,2256s,"{'WALK', 'BUS'}"
2460925,922,852,2795,709,3717,1561s,"{'WALK', 'BUS'}"
3681927,546,444,0,0,546,444s,{'WALK'}
907556,593,543,3015,843,3608,1396s,"{'WALK', 'BUS'}"
1274990,1110,926,2619,722,3729,1648s,"{'WALK', 'BUS'}"
398293,519,459,11591,2187,12110,2647s,"{'WALK', 'BUS'}"
2096609,1376,1157,5761,1508,7137,2666s,"{'WALK', 'BUS'}"
4097623,767,712,1670,607,2437,1319s,"{'WALK', 'BUS'}"
184816,748,631,2323,599,3071,1230s,"{'WALK', 'BUS'}"
397325,479,425,10591,1905,11070,2331s,"{'WALK', 'BUS'}"
3309282,1043,885,13438,2203,14481,3701s,"{'WALK', 'BUS'}"
2701662,902,868,13730,1480,14632,2563s,"{'WALK', 'BUS', 'SUBWAY'}"
1787077,404,337,1942,515,2346,852s,"{'WALK', 'BUS'}"
4185003,1137,1153,4093,540,5230,1992s,"{'WALK', 'SUBWAY'}"
4518908,605,513,948,321,1553,844s,"{'WALK', 'BUS'}"
2903686,1021,844,0,0,1021,845s,{'WALK'}
111482,917,900,3706,450,4623,1350s,"{'WALK', 'SUBWAY'}"
378639,1109,927,0,0,1109,928s,{'WALK'}
419127,1143,1133,7422,1301,8565,2667s,"{'WALK', 'BUS', 'SUBWAY'}"
1944787,507,453,7535,1920,8042,2962s,"{'WALK', 'BUS'}"
1936765,692,603,2067,848,2759,1452s,"{'WALK', 'BUS'}"
175979,1220,1035,3128,773,4348,1828s,"{'WALK', 'BUS'}"
820004,446,383,551,157,997,541s,"{'WALK', 'BUS'}"
179271,1185,996,1441,318,2626,1318s,"{'WALK', 'BUS'}"
2542669,1503,1411,4191,720,5694,2132s,"{'WALK', 'SUBWAY'}"
2169329,894,943,4909,660,5803,1900s,"{'WALK', 'SUBWAY'}"
3183889,1760,1479,0,0,1760,1479s,{'WALK'}
655427,662,556,4526,845,5188,1906s,"{'WALK', 'BUS'}"
1551312,2308,2032,25269,3034,27577,5757s,"{'WALK', 'BUS', 'SUBWAY'}"
4165590,1081,901,0,0,1081,901s,{'WALK'}
1952474,1201,1052,1980,765,3181,1817s,"{'WALK', 'BUS'}"
773872,1680,1429,17870,1744,19550,3792s,"{'WALK', 'BUS', 'SUBWAY'}"
1101719,,,,,,,
725205,1228,1041,11434,2090,12662,3358s,"{'WALK', 'BUS'}"
2270663,220,189,1987,619,2207,836s,"{'WALK', 'BUS'}"
4833104,543,465,973,273,1516,738s,"{'WALK', 'BUS'}"
2257884,808,842,3122,420,3930,1262s,"{'WALK', 'SUBWAY'}"
3992589,904,767,19934,3539,20838,4955s,"{'WALK', 'BUS'}"
2004111,612,527,1713,380,2325,942s,"{'WALK', 'BUS'}"
442049,766,645,1250,260,2016,904s,"{'WALK', 'BUS'}"
1720058,896,761,5736,1437,6632,2199s,"{'WALK', 'BUS'}"
2860022,1761,1692,864,90,2625,1783s,"{'WALK', 'SUBWAY'}"
1145448,646,537,1962,588,2608,1126s,"{'WALK', 'BUS'}"
4300125,570,479,13595,2552,14165,3801s,"{'WALK', 'BUS'}"
2383419,1131,937,3286,1160,4417,2153s,"{'WALK', 'BUS'}"
1632635,1750,1443,3053,796,4803,2241s,"{'WALK', 'BUS'}"
4090027,521,443,7316,1846,7837,2290s,"{'WALK', 'BUS'}"
2235208,875,762,2909,761,3784,1524s,"{'WALK', 'BUS'}"
190420,738,633,3970,805,4708,1832s,"{'WALK', 'BUS'}"
51002,775,656,2352,968,3127,1624s,"{'WALK', 'BUS'}"
1025967,365,314,7581,2181,7946,2720s,"{'WALK', 'BUS'}"
1795510,287,263,848,319,1135,589s,"{'WALK', 'BUS'}"
4757810,628,518,1875,668,2503,1186s,"{'WALK', 'BUS'}"
3828247,703,631,2577,994,3280,1902s,"{'WALK', 'BUS'}"
720346,1406,1288,37576,4789,38982,6571s,"{'WALK', 'BUS', 'SUBWAY'}"
2099176,2360,1949,27780,2640,30140,4594s,"{'WALK', 'SUBWAY'}"
2015174,815,685,0,0,815,685s,{'WALK'}
4760549,1141,1018,768,120,1909,1139s,"{'WALK', 'SUBWAY'}"
3101682,2079,1740,31251,3521,33330,5584s,"{'WALK', 'BUS', 'SUBWAY'}"
4039531,582,503,843,191,1425,695s,"{'WALK', 'BUS'}"
282212,1107,955,8099,2083,9206,3712s,"{'WALK', 'BUS'}"
293773,507,463,9597,2472,10104,3509s,"{'WALK', 'BUS'}"
2786754,1688,1412,3303,730,4991,2142s,"{'WALK', 'BUS'}"
2430167,734,618,885,191,1619,838s,"{'WALK', 'BUS'}"
4602678,327,295,926,252,1253,548s,"{'WALK', 'BUS'}"
3066634,1008,957,13086,1451,14094,2881s,"{'WALK', 'BUS', 'SUBWAY'}"
2128838,1058,922,4782,1280,5840,2204s,"{'WALK', 'BUS'}"
3075940,1166,954,2726,840,3892,1795s,"{'WALK', 'BUS'}"
3316741,671,561,4621,1138,5292,1955s,"{'WALK', 'BUS'}"
1971165,1043,1007,6957,1020,8000,2423s,"{'WALK', 'SUBWAY'}"
1399130,349,307,2671,610,3020,918s,"{'WALK', 'BUS'}"
3421074,327,272,1270,314,1597,587s,"{'WALK', 'BUS'}"
2928302,1000,863,20956,3314,21956,4877s,"{'WALK', 'BUS'}"
1678543,1412,1194,11665,2377,13077,3574s,"{'WALK', 'BUS'}"
2161335,656,573,755,253,1411,848s,"{'WALK', 'BUS'}"
819622,668,599,1245,232,1913,834s,"{'WALK', 'BUS'}"
