day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
0,23,41.791,-87.594,41.798,-87.59,650,2209335,2026,04,26
1,13,41.913,-87.775,41.929,-87.646,3,3043759,2026,04,26
2,2,41.899,-87.626,41.907,-87.636,149,4015272,2026,04,22
1,5,41.922,-87.651,41.901,-87.694,2,2816769,2026,04,22
0,0,41.979,-87.903,41.905,-87.65,500,122440,2026,04,22
0,8,41.907,-87.636,41.915,-87.632,2,700742,2026,04,26
1,21,41.943,-87.641,41.965,-87.703,1,3588837,2026,04,26
0,13,41.868,-87.643,41.79,-87.601,68,901041,2026,04,25
1,19,41.922,-87.641,41.907,-87.636,36,3415901,2026,04,22
0,15,41.885,-87.657,41.979,-87.903,1464,1153208,2026,04,22
1,19,41.895,-87.62,41.885,-87.643,48,3402727,2026,04,22
0,3,41.806,-87.587,41.798,-87.594,94,382264,2026,04,25
0,2,41.915,-87.632,41.934,-87.712,13,316628,2026,04,26
1,23,41.892,-87.632,41.946,-87.654,65,3734067,2026,04,25
0,22,41.98,-87.773,41.965,-87.663,1,2168569,2026,04,22
2,7,41.893,-87.653,41.945,-87.669,6,4404302,2026,04,25
0,19,41.893,-87.638,41.931,-87.642,74,1655716,2026,04,25
0,14,41.842,-87.622,41.922,-87.634,3,1011014,2026,04,22
2,16,41.859,-87.617,41.859,-87.617,405,4645021,2026,04,22
0,2,41.885,-87.657,41.929,-87.656,331,293741,2026,04,26
0,20,41.885,-87.643,41.908,-87.671,75,1790257,2026,04,22
1,20,41.962,-87.645,41.9,-87.67,5,3513202,2026,04,26
0,14,41.813,-87.604,41.849,-87.624,17,1003622,2026,04,22
0,21,41.9,-87.632,41.893,-87.638,265,1954183,2026,04,22
0,12,41.777,-87.611,41.881,-87.633,72,791332,2026,04,25
0,14,41.762,-87.63,41.885,-87.621,42,984416,2026,04,22
0,17,41.979,-87.903,41.95,-87.644,153,1446804,2026,04,26
2,0,41.967,-87.671,41.951,-87.667,10,3873714,2026,04,22
2,0,41.961,-87.752,41.923,-87.722,2,3870332,2026,04,22
2,2,41.915,-87.632,41.95,-87.702,6,4025064,2026,04,22
2,12,41.95,-87.644,41.979,-87.903,75,4525282,2026,04,25
0,23,41.741,-87.601,41.741,-87.601,90,2190199,2026,04,22
1,11,41.907,-87.641,41.95,-87.644,1,2997524,2026,04,26
0,5,41.813,-87.604,41.783,-87.621,13,575853,2026,04,22
0,19,41.685,-87.671,41.791,-87.623,4,1585344,2026,04,25
1,23,41.851,-87.635,41.859,-87.617,173,3719956,2026,04,25
1,18,41.922,-87.656,41.919,-87.671,11,3341715,2026,04,22
2,16,41.892,-87.632,42.002,-87.674,2,4652433,2026,04,22
0,15,41.881,-87.633,41.906,-87.675,138,1150929,2026,04,22
0,14,41.885,-87.657,41.915,-87.632,69,1029329,2026,04,22
0,15,42.008,-87.686,41.978,-87.716,9,1214504,2026,04,22
0,12,41.815,-87.709,41.881,-87.633,69,799131,2026,04,25
0,15,41.907,-87.665,41.851,-87.635,7,1168548,2026,04,22
1,0,41.879,-87.657,41.912,-87.684,31,2369090,2026,04,25
2,22,41.903,-87.626,41.898,-87.621,10,5007150,2026,04,26
2,20,41.979,-87.903,41.979,-87.903,54,4911408,2026,04,22
0,1,41.893,-87.626,41.921,-87.7,92,187252,2026,04,22
0,4,41.885,-87.621,41.879,-87.657,274,505999,2026,04,22
0,23,41.922,-87.664,42.009,-87.664,3,2280961,2026,04,26
0,23,41.915,-87.632,41.907,-87.641,47,2274961,2026,04,26
2,16,41.922,-87.641,41.967,-87.684,2,4663430,2026,04,22
0,23,41.689,-87.617,41.783,-87.599,3,2183066,2026,04,22
0,14,41.87,-87.685,41.871,-87.622,19,1019753,2026,04,22
0,14,41.898,-87.654,41.936,-87.661,10,1036962,2026,04,22
0,19,41.845,-87.728,41.774,-87.693,1,1628730,2026,04,25
2,3,41.979,-87.903,41.892,-87.629,97,4150926,2026,04,22
0,1,41.958,-87.676,41.907,-87.665,10,232948,2026,04,22
0,21,41.833,-87.654,41.856,-87.644,2,1913653,2026,04,22
0,19,41.9,-87.629,41.979,-87.903,329,1662458,2026,04,25
2,20,41.935,-87.693,41.979,-87.903,11,4896877,2026,04,22
0,15,41.996,-87.794,41.978,-87.716,11,1212395,2026,04,22
0,5,41.742,-87.63,41.742,-87.63,39,568114,2026,04,22
1,4,41.929,-87.651,41.892,-87.629,81,2745509,2026,04,22
0,1,41.871,-87.622,41.893,-87.66,31,171956,2026,04,22
1,19,41.902,-87.638,41.879,-87.643,24,3406482,2026,04,22
0,14,42.016,-87.7,41.892,-87.613,3,1091478,2026,04,22
2,23,41.879,-87.643,41.891,-87.619,138,5058426,2026,04,26
1,7,41.892,-87.632,41.975,-87.844,3,2912676,2026,04,22
2,1,41.936,-87.656,41.935,-87.647,17,3948619,2026,04,22
0,15,41.87,-87.675,41.806,-87.587,18,1143870,2026,04,22
1,2,41.792,-87.611,41.853,-87.705,1,2532540,2026,04,22
2,17,41.879,-87.643,41.9,-87.665,16,4702651,2026,04,22
0,13,41.885,-87.643,41.898,-87.654,127,910350,2026,04,25
0,12,41.885,-87.684,41.892,-87.702,45,813522,2026,04,25
0,0,41.885,-87.657,41.885,-87.657,1892,53184,2026,04,22
2,19,41.756,-87.552,41.749,-87.601,3,4800801,2026,04,22
0,20,41.958,-87.684,41.922,-87.651,4,1844209,2026,04,22
0,21,41.769,-87.62,41.881,-87.633,25,1889967,2026,04,22
2,16,41.729,-87.609,41.742,-87.63,6,4633277,2026,04,22
0,21,41.696,-87.652,41.74,-87.658,2,1870636,2026,04,22
0,13,41.827,-87.699,41.798,-87.59,5,890228,2026,04,25
2,4,41.922,-87.69,41.892,-87.632,33,4208796,2026,04,22
0,0,41.989,-87.657,41.879,-87.672,11,127026,2026,04,22
2,8,41.9,-87.629,41.898,-87.654,58,4449019,2026,04,25
0,5,41.893,-87.626,41.922,-87.664,27,593463,2026,04,22
1,11,41.859,-87.617,41.895,-87.62,62,2993709,2026,04,26
0,3,41.913,-87.775,41.868,-87.714,1,423594,2026,04,22
0,18,41.9,-87.629,41.95,-87.644,11,1529867,2026,04,26
1,0,41.95,-87.684,41.898,-87.654,31,2412589,2026,04,25
1,16,41.859,-87.617,41.885,-87.657,256,3183606,2026,04,22
0,23,41.797,-87.582,41.851,-87.635,65,2210802,2026,04,26
1,1,41.938,-87.639,41.922,-87.641,24,2496341,2026,04,22
1,20,41.898,-87.621,41.877,-87.622,158,3481422,2026,04,22
2,10,41.893,-87.638,41.783,-87.583,12,4492404,2026,04,25
0,14,41.987,-87.713,41.898,-87.621,11,1085516,2026,04,22
0,15,41.922,-87.646,41.898,-87.621,36,1177527,2026,04,22
0,4,41.748,-87.649,41.868,-87.714,1,476804,2026,04,22
0,14,41.754,-87.671,41.748,-87.661,4,980501,2026,04,22
0,22,41.935,-87.643,41.916,-87.675,6,2136612,2026,04,22
2,22,41.943,-87.647,41.898,-87.621,10,5023811,2026,04,26
0,23,41.929,-87.646,41.892,-87.675,8,2288268,2026,04,26
2,1,41.755,-87.651,41.703,-87.665,1,3890367,2026,04,22
2,1,41.899,-87.626,41.893,-87.626,247,3924284,2026,04,22
0,21,41.798,-87.59,41.885,-87.621,96,1903011,2026,04,22
2,23,41.906,-87.631,41.871,-87.631,12,5069386,2026,04,26
0,17,41.936,-87.676,41.945,-87.662,8,1425857,2026,04,26
2,5,41.892,-87.632,41.9,-87.665,131,4273867,2026,04,26
2,7,41.891,-87.619,41.859,-87.617,58,4401687,2026,04,25
1,13,41.748,-87.671,41.891,-87.619,1,3025847,2026,04,26
0,22,41.929,-87.646,41.987,-87.672,3,2133185,2026,04,22
0,18,41.906,-87.675,41.902,-87.638,22,1532609,2026,04,26
1,4,41.98,-87.671,41.871,-87.631,3,2769672,2026,04,22
0,3,41.936,-87.661,41.885,-87.621,60,440406,2026,04,22
1,18,41.973,-87.65,41.929,-87.656,2,3362231,2026,04,22
0,3,41.772,-87.657,41.777,-87.603,1,374916,2026,04,25
1,23,41.936,-87.681,41.892,-87.632,27,3761465,2026,04,25
0,11,41.934,-87.799,41.979,-87.903,35,765946,2026,04,26
1,4,41.972,-87.671,41.9,-87.629,5,2766844,2026,04,22
0,20,41.728,-87.596,41.747,-87.573,6,1728020,2026,04,22
1,1,41.929,-87.656,41.958,-87.66,10,2490445,2026,04,22
1,0,41.893,-87.638,41.898,-87.654,280,2376953,2026,04,25
0,2,41.905,-87.65,41.941,-87.671,18,309021,2026,04,26
0,19,41.935,-87.738,41.893,-87.626,14,1684317,2026,04,25
0,18,41.868,-87.714,41.881,-87.633,94,1505853,2026,04,26
2,23,41.898,-87.621,41.881,-87.633,207,5065456,2026,04,26
0,22,41.899,-87.626,41.906,-87.631,97,2106510,2026,04,22
0,15,41.879,-87.643,41.859,-87.617,1118,1150192,2026,04,22
1,3,41.9,-87.632,41.986,-87.769,5,2645666,2026,04,22
0,18,41.929,-87.651,41.929,-87.674,19,1547823,2026,04,26
0,21,41.99,-87.783,41.972,-87.739,5,2015769,2026,04,22
0,13,41.982,-87.842,41.983,-87.877,152,959433,2026,04,22
1,7,41.893,-87.653,41.93,-87.761,1,2913516,2026,04,22
2,17,41.979,-87.903,41.936,-87.676,11,4735169,2026,04,22
2,2,41.893,-87.626,41.906,-87.631,85,4012362,2026,04,22
2,2,41.973,-87.657,41.921,-87.71,3,4058585,2026,04,22
1,22,41.915,-87.654,41.929,-87.636,33,3657731,2026,04,25
1,0,41.936,-87.661,41.922,-87.656,14,2403791,2026,04,25
0,0,41.79,-87.59,41.786,-87.751,30,20983,2026,04,22
