day_type,start_hour,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,group_n,group_id,representative_year,representative_month,representative_day
2,18,41.879,-87.643,41.863,-87.673,26,4758634,2026,04,22
0,4,41.885,-87.657,41.893,-87.626,2182,504873,2026,04,22
0,17,41.756,-87.552,41.761,-87.686,1,1349517,2026,04,22
0,21,41.938,-87.647,41.943,-87.652,18,1984709,2026,04,22
0,0,41.929,-87.651,41.985,-87.654,5,90421,2026,04,22
0,4,41.921,-87.7,41.916,-87.684,8,528151,2026,04,22
0,16,41.9,-87.632,41.893,-87.638,271,1284062,2026,04,22
0,0,41.79,-87.601,41.885,-87.643,122,20736,2026,04,22
1,20,41.973,-87.694,41.906,-87.675,14,3516850,2026,04,26
2,21,41.908,-87.671,41.943,-87.718,4,4948727,2026,04,22
1,19,41.879,-87.643,41.899,-87.626,143,3395873,2026,04,22
0,11,42.002,-87.674,41.798,-87.59,35,776489,2026,04,25
2,5,41.885,-87.657,41.922,-87.646,285,4269965,2026,04,26
2,22,41.879,-87.672,41.871,-87.631,14,4996908,2026,04,26
0,20,41.885,-87.621,41.885,-87.657,1886,1790833,2026,04,22
0,20,41.849,-87.624,41.979,-87.903,2746,1770383,2026,04,22
2,5,41.892,-87.629,41.879,-87.657,97,4274296,2026,04,26
0,3,41.943,-87.652,41.973,-87.65,107,445618,2026,04,22
1,19,41.879,-87.672,41.859,-87.617,31,3395185,2026,04,22
2,19,41.929,-87.685,41.907,-87.636,8,4834208,2026,04,22
0,21,41.87,-87.675,41.787,-87.622,37,1928017,2026,04,22
0,18,41.906,-87.734,41.943,-87.701,20,1532143,2026,04,26
0,2,41.912,-87.684,41.936,-87.704,12,314399,2026,04,26
0,3,41.895,-87.62,41.861,-87.631,12,411104,2026,04,22
0,19,41.856,-87.669,41.879,-87.672,15,1632292,2026,04,25
1,10,41.907,-87.636,41.979,-87.903,84,2986241,2026,04,26
0,20,41.891,-87.619,41.885,-87.621,971,1792525,2026,04,22
0,20,41.885,-87.621,41.979,-87.903,7099,1791102,2026,04,22
0,2,41.905,-87.65,41.881,-87.633,214,308854,2026,04,26
0,0,41.871,-87.689,41.885,-87.621,16,44425,2026,04,22
0,20,41.881,-87.633,41.79,-87.601,268,1786870,2026,04,22
2,7,41.885,-87.657,41.905,-87.65,330,4400582,2026,04,25
0,18,41.907,-87.636,41.915,-87.632,33,1534611,2026,04,26
1,3,41.877,-87.622,41.898,-87.621,102,2631519,2026,04,22
0,23,41.928,-87.788,41.908,-87.671,2,2284038,2026,04,26
1,10,41.892,-87.665,41.786,-87.751,4,2984348,2026,04,22
0,14,41.879,-87.657,41.893,-87.653,145,1026058,2026,04,22
1,23,41.9,-87.68,41.929,-87.685,9,3739321,2026,04,25
0,21,41.895,-87.62,41.774,-87.676,2,1948653,2026,04,22
1,20,41.879,-87.657,41.885,-87.621,181,3472631,2026,04,22
0,16,41.885,-87.621,41.885,-87.643,1299,1273707,2026,04,22
0,20,41.892,-87.702,41.919,-87.671,4,1793378,2026,04,22
0,14,41.945,-87.669,41.885,-87.643,39,1067776,2026,04,22
2,16,41.891,-87.619,41.979,-87.903,994,4651378,2026,04,22
0,19,41.898,-87.621,41.98,-87.652,16,1658658,2026,04,25
0,17,41.761,-87.686,41.738,-87.712,6,1350037,2026,04,22
0,7,41.786,-87.751,41.898,-87.621,34,670936,2026,04,26
0,2,41.922,-87.651,41.964,-87.652,18,322052,2026,04,26
2,3,41.877,-87.622,41.859,-87.617,209,4092060,2026,04,22
0,2,41.936,-87.656,41.922,-87.646,56,332627,2026,04,25
1,21,41.847,-87.664,41.871,-87.622,22,3545060,2026,04,26
1,1,41.922,-87.651,41.943,-87.652,36,2486229,2026,04,25
0,23,41.851,-87.635,41.797,-87.582,34,2227804,2026,04,26
0,13,41.929,-87.646,41.885,-87.621,178,935158,2026,04,22
2,19,41.979,-87.903,41.806,-87.587,18,4850144,2026,04,22
1,2,41.915,-87.654,41.941,-87.671,17,2568105,2026,04,22
0,3,41.943,-87.647,41.958,-87.66,87,445936,2026,04,22
0,19,42.001,-87.684,41.899,-87.626,22,1717492,2026,04,22
0,13,41.879,-87.643,41.885,-87.657,2191,907532,2026,04,25
1,15,41.806,-87.587,41.79,-87.601,41,3117961,2026,04,25
0,23,41.885,-87.621,41.891,-87.619,1587,2248478,2026,04,26
0,20,41.716,-87.575,41.728,-87.559,17,1726094,2026,04,22
0,12,41.994,-87.695,41.958,-87.692,3,851362,2026,04,25
0,0,41.903,-87.626,41.9,-87.665,18,68961,2026,04,22
0,1,41.859,-87.617,41.885,-87.657,1446,166776,2026,04,22
2,2,41.892,-87.632,41.938,-87.639,97,4010132,2026,04,22
0,17,41.891,-87.619,41.747,-87.557,2,1394698,2026,04,26
0,5,41.908,-87.627,41.906,-87.675,6,601301,2026,04,22
0,19,41.859,-87.617,41.893,-87.626,1298,1633819,2026,04,25
0,15,41.893,-87.653,41.881,-87.633,1278,1158347,2026,04,22
1,18,41.892,-87.632,41.885,-87.621,423,3327873,2026,04,22
0,0,41.892,-87.632,41.885,-87.657,3811,58616,2026,04,22
0,18,41.92,-87.68,41.929,-87.685,18,1540836,2026,04,26
0,14,41.885,-87.657,41.881,-87.633,7182,1029241,2026,04,22
1,4,41.885,-87.643,41.764,-87.571,2,2718436,2026,04,22
2,17,41.936,-87.656,41.859,-87.617,15,4723079,2026,04,22
2,4,41.762,-87.61,41.746,-87.592,2,4163345,2026,04,22
1,21,41.979,-87.658,41.985,-87.654,6,3603126,2026,04,26
0,23,41.787,-87.634,41.711,-87.651,2,2207056,2026,04,26
0,0,41.95,-87.644,41.935,-87.635,24,107473,2026,04,22
2,4,41.946,-87.654,41.973,-87.65,17,4226616,2026,04,22
0,0,41.892,-87.613,41.871,-87.631,159,59622,2026,04,22
0,13,41.994,-87.705,42.001,-87.702,25,962217,2026,04,22
2,0,41.841,-87.661,41.892,-87.613,3,3810187,2026,04,22
0,19,41.973,-87.679,41.958,-87.684,19,1707325,2026,04,25
0,21,41.979,-87.903,41.893,-87.626,3888,2010279,2026,04,22
1,6,41.922,-87.641,41.922,-87.656,4,2878500,2026,04,22
2,5,41.928,-87.695,41.879,-87.657,5,4295778,2026,04,26
0,15,41.881,-87.633,41.879,-87.643,2199,1150861,2026,04,22
0,0,41.879,-87.657,41.881,-87.633,650,49749,2026,04,22
0,2,41.879,-87.643,41.922,-87.656,85,291116,2026,04,26
0,20,41.786,-87.751,41.877,-87.723,3,1749006,2026,04,22
0,22,41.762,-87.59,41.754,-87.632,5,2041938,2026,04,22
0,0,41.898,-87.621,41.885,-87.657,1157,63766,2026,04,22
0,4,41.979,-87.903,41.893,-87.626,2284,558700,2026,04,22
0,20,41.885,-87.621,41.895,-87.62,1054,1790858,2026,04,22
2,3,41.877,-87.622,41.892,-87.613,55,4092115,2026,04,22
0,2,41.938,-87.639,41.893,-87.626,63,334013,2026,04,25
0,23,41.871,-87.622,41.847,-87.664,37,2238300,2026,04,26
